date,target,forward_return,sentiment_mean,probability,threshold,test_year,model,feature_set,position,turnover,strategy_return,market_return,strategy_curve,market_curve
2015-06-15,1,0.006368920509262299,-0.12532800000000002,0.4951447546482086,0.35,2015,xgboost,price_news,0.0,0.0,0.0,0.006368920509262299,0.9028611478554006,1.1647828078369427
2015-06-16,1,0.0017459185735171356,-0.177804,0.6144556999206543,0.35,2015,xgboost,price_news,1.0,1.0,0.0007459185735171356,0.0017459185735171356,0.9035346087548931,1.1668164237752585
2015-06-17,1,0.010041381490271117,-0.25361599999999995,0.5580655336380005,0.35,2015,xgboost,price_news,1.0,0.0,0.010041381490271117,0.010041381490271117,0.9126073444510638,1.1785328726154998
2015-06-18,0,-0.005513993602294098,-0.056092,0.5984975695610046,0.35,2015,xgboost,price_news,1.0,0.0,-0.005513993602294098,-0.005513993602294098,0.907575233392354,1.1720344498958046
2015-06-19,1,0.005763231053654394,-0.256252,0.3967914283275604,0.35,2015,xgboost,price_news,0.0,1.0,-0.001,0.005763231053654394,0.9066676581589617,1.178789155233397
2015-06-22,1,0.0013405800700905246,-0.09795600000000002,0.5635390877723694,0.35,2015,xgboost,price_news,1.0,1.0,0.0003405800700905246,0.0013405800700905246,0.9069764510935263,1.1803694164817415
2015-06-23,0,-0.00981036762640164,-0.14401999999999998,0.6996248960494995,0.35,2015,xgboost,price_news,1.0,0.0,-0.00981036762640164,-0.00981036762640164,0.8980786786798097,1.1687895585710946
2015-06-24,0,-0.004214106684722885,-0.12614,0.6666946411132812,0.35,2015,xgboost,price_news,1.0,0.0,-0.004214106684722885,-0.004214106684722885,0.894294079316578,1.1638641546792858
2015-06-25,1,0.00314808170252312,-0.133488,0.6500721573829651,0.35,2015,xgboost,price_news,1.0,0.0,0.00314808170252312,0.00314808170252312,0.8971093901443493,1.1675280941288542
2015-06-26,0,-0.0195206068805166,-0.178916,0.436893105506897,0.35,2015,xgboost,price_news,0.0,1.0,-0.001,-0.0195206068805166,0.896212280754205,1.144737237181406
